,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0
mean,2.296,-3.126,1.475,0.377,0.05,0.066,0.312,0.002,0.048,21.834,36.854,0.138,1.761,0.905,0.382,0.372,0.01,0.004,0.002,0.005,-2.548,0.335,0.428,1.288,0.081,0.379,0.461,0.372
std,5.599,5.601,0.782,1.733,0.223,0.564,1.516,0.023,0.223,42.031,20.511,1.177,3.554,2.825,0.758,0.76,0.054,0.008,0.008,0.011,6.228,0.286,1.955,2.814,0.193,0.754,0.753,0.957
min,-13.975,-19.372,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.476,0.0,0.0,0.0,0.0,0.0,0.0,0.063
25%,-2.003,-7.475,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.221,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.829,0.117,0.0,0.0,0.008,0.0,0.015,0.107
50%,2.598,-2.798,1.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.849,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.036,0.021,0.0,0.082,0.183
75%,6.627,1.201,2.07,0.0,0.0,0.0,0.0,0.0,0.0,18.518,43.374,0.0,1.685,0.0,0.385,0.342,0.0,0.003,0.0,0.006,0.0,0.469,0.0,1.35,0.069,0.367,0.602,0.265
max,16.329,10.935,3.9,23.829,2.812,14.369,19.5,0.433,2.812,158.556,119.853,15.501,23.65,22.027,4.25,4.25,0.628,0.043,0.094,0.098,21.59,1.441,26.372,22.027,1.667,4.208,4.251,16.911
sum,2516.862,-3425.712,1617.023,413.737,54.831,71.885,341.852,2.302,52.529,23930.407,40391.578,150.893,1930.575,992.194,419.061,407.832,11.229,4.078,1.684,5.763,-2793.151,367.138,468.568,1411.255,89.192,415.6,504.791,407.543
